epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,402.562,1.14104,0.42572,0.00085,0.952,0.86974,0.93722,0.65923,1.21967,0.48725,0.00167,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,801.275,1.13872,0.41651,0.00086,0.94544,0.88318,0.93659,0.66223,1.21163,0.48917,0.00168,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1199.75,1.1258,0.40319,0.00084,0.94133,0.88428,0.9377,0.66374,1.21327,0.49628,0.00168,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1598.07,1.12738,0.41277,0.00085,0.93808,0.89114,0.93842,0.66197,1.21357,0.48621,0.00167,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1996.46,1.1298,0.41369,0.00085,0.94678,0.88557,0.93795,0.66348,1.21624,0.48508,0.00167,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2394.75,1.12085,0.41498,0.00084,0.94473,0.87989,0.93773,0.66557,1.20604,0.48987,0.00166,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2793.09,1.16976,0.44445,0.00089,0.94996,0.88832,0.93925,0.66533,1.20527,0.49017,0.00166,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3191.03,1.1617,0.43899,0.00089,0.93716,0.89594,0.93971,0.66818,1.19902,0.47607,0.00164,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3589.16,1.15398,0.43432,0.00088,0.95012,0.88075,0.94066,0.66886,1.19368,0.48352,0.00163,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3986.95,1.1587,0.43618,0.00086,0.94228,0.88878,0.93883,0.67009,1.1926,0.47833,0.00164,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4385.6,1.15216,0.43023,0.00085,0.94546,0.88677,0.93751,0.67043,1.18373,0.4855,0.00162,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4783.52,1.13253,0.4233,0.00085,0.9408,0.88941,0.93963,0.67283,1.17817,0.48425,0.00162,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5181.81,1.1317,0.41967,0.00085,0.93858,0.89335,0.94013,0.67211,1.18057,0.4799,0.00162,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5579.86,1.16487,0.45909,0.00088,0.941,0.89429,0.94118,0.67286,1.18025,0.47227,0.00163,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5978.6,1.15718,0.44249,0.00089,0.94129,0.89593,0.94143,0.67494,1.1792,0.46901,0.00162,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6377.15,1.14791,0.42932,0.00086,0.94243,0.89673,0.94432,0.67808,1.16916,0.46223,0.0016,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6775.88,1.1326,0.42718,0.00084,0.94394,0.89842,0.94322,0.67918,1.16444,0.46177,0.0016,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7174.33,1.13286,0.44082,0.00082,0.951,0.88346,0.94103,0.67915,1.16499,0.47008,0.00161,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7573.25,1.11935,0.43106,0.00084,0.95182,0.88761,0.94316,0.68137,1.16089,0.46992,0.00159,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7971.64,1.11765,0.42284,0.00082,0.9552,0.8913,0.9456,0.68274,1.15448,0.46465,0.00158,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8370.33,1.11084,0.41823,0.00082,0.95689,0.89527,0.94584,0.68503,1.14924,0.46074,0.00158,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8769.13,1.10534,0.41557,0.00081,0.94781,0.90163,0.94524,0.68699,1.14909,0.4507,0.00158,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9167.47,1.08808,0.41037,0.00079,0.94664,0.89803,0.94585,0.6892,1.14284,0.45,0.00156,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9565.56,1.07603,0.39838,0.00078,0.95111,0.89996,0.94604,0.68917,1.13697,0.45231,0.00155,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9963.9,1.06738,0.39611,0.00078,0.94692,0.89956,0.94659,0.68958,1.13426,0.45103,0.00154,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10362.7,1.06722,0.39807,0.00077,0.94705,0.90332,0.94749,0.68947,1.13469,0.45213,0.00155,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
